"","BTC_DASH","BTC_ETH","BTC_LTC","BTC_XRP","BTC_NXT","BTC_BTS","BTC_STR","BTC_XEM","BTC_XMR","BTC_ZEC"
"130",0.05099999,0.05039899,0.01692881,0.00010636,2.471e-05,2.15e-05,2.224e-05,6.95e-05,0.016645,0.0555449
"131",0.05,0.04944846,0.01651336,0.00010951,2.466e-05,2.175e-05,2.493e-05,6.671e-05,0.016445,0.055
"132",0.0518,0.05039993,0.01660306,0.00011718,2.504e-05,2.191e-05,2.426e-05,6.949e-05,0.01689999,0.05587011
"133",0.05099463,0.05080824,0.01623,0.00011578,2.537e-05,2.34e-05,2.368e-05,7.216e-05,0.01695536,0.05762688
"134",0.05057785,0.0502,0.01591219,0.00012179,2.466e-05,2.25e-05,2.38e-05,7.613e-05,0.0168846,0.056465
"135",0.05128894,0.05092417,0.01610023,0.0001226,2.401e-05,2.146e-05,2.264e-05,7.267e-05,0.0165555,0.05666976
"136",0.05191083,0.050905,0.01578504,0.00012399,2.421e-05,2.177e-05,2.319e-05,7.435e-05,0.016345,0.0564949
"137",0.05107382,0.05027777,0.016121,0.000126,2.46e-05,2.01e-05,2.264e-05,7.46e-05,0.01639853,0.05595702
"138",0.05,0.04999998,0.01581096,0.0001202,2.422e-05,2.056e-05,2.2e-05,7.041e-05,0.01620161,0.05540141
"139",0.050012,0.04988677,0.01588666,0.00012386,2.726e-05,2.135e-05,2.203e-05,7.261e-05,0.016382,0.05449877
"140",0.05039802,0.04925001,0.01619119,0.00012,2.528e-05,2.052e-05,2.106e-05,7.146e-05,0.015991,0.05390973
"141",0.05028,0.049279,0.01641113,0.00012385,2.654e-05,2.041e-05,2.16e-05,7.116e-05,0.01610001,0.05385001
"142",0.05,0.04915,0.01638389,0.00011968,2.89e-05,2.108e-05,2.139e-05,7.046e-05,0.016065,0.05405
"143",0.05,0.04936602,0.01662486,0.0001226,2.895e-05,2.067e-05,2.134e-05,7.096e-05,0.01605012,0.05379998
"144",0.05052006,0.04941826,0.01609154,0.00011987,2.845e-05,2.06e-05,2.196e-05,7.237e-05,0.0159216,0.05304393
"145",0.05065,0.0502,0.0156603,0.00012007,3.135e-05,2.19e-05,2.178e-05,7.026e-05,0.01573356,0.05341478
"146",0.04984916,0.04979914,0.01600105,0.00012147,3.638e-05,2.182e-05,2.156e-05,7.064e-05,0.01589457,0.05362986
"147",0.04900003,0.05036898,0.01553,0.00013349,3.761e-05,2.165e-05,2.24e-05,6.977e-05,0.0158808,0.0545
"148",0.049315,0.05182532,0.01589478,0.00013621,3.917e-05,2.205e-05,2.295e-05,7.185e-05,0.01593464,0.05461702
"149",0.05020486,0.053171,0.01588,0.0001378,3.838e-05,2.186e-05,2.24e-05,7.123e-05,0.01603404,0.05511477
"150",0.05041,0.05329989,0.01513761,0.000145,3.78e-05,2.193e-05,2.478e-05,7.109e-05,0.01630403,0.05547799
"151",0.0502,0.05249793,0.014825,0.00014293,3.746e-05,2.409e-05,2.55e-05,7.1e-05,0.01627368,0.054743
"152",0.05296958,0.05210048,0.01455985,0.0001545,3.629e-05,2.38e-05,2.508e-05,6.809e-05,0.01604,0.0535
"153",0.0516,0.05352004,0.01441206,0.00017846,3.338e-05,2.527e-05,2.645e-05,6.53e-05,0.01561031,0.05444057
"154",0.05044224,0.05307499,0.01386265,0.00017479,3.53e-05,2.55e-05,2.723e-05,6.749e-05,0.0160151,0.05461537
"155",0.05,0.05207671,0.013896,0.00017777,3.536e-05,2.619e-05,2.832e-05,6.711e-05,0.01575686,0.0530121
"156",0.04926643,0.0501,0.01428442,0.0001656,3.387e-05,2.485e-05,2.653e-05,6.517e-05,0.01544101,0.05189823
"157",0.04884,0.0504896,0.01380069,0.00017609,3.345e-05,2.378e-05,2.663e-05,6.2e-05,0.01532105,0.05162673
"158",0.04911593,0.04947899,0.01323901,0.0001984,3.26e-05,2.58e-05,2.823e-05,5.919e-05,0.01508322,0.05128228
"159",0.04779999,0.04862681,0.01277998,0.0002115,2.997e-05,2.559e-05,2.875e-05,6.067e-05,0.01463552,0.04921527
"160",0.04447088,0.04789001,0.01276003,0.00022615,3.211e-05,2.626e-05,2.74e-05,6.241e-05,0.014401,0.04812089
"161",0.04600001,0.04800099,0.0137959,0.00019948,3.102e-05,2.428e-05,2.471e-05,6.4e-05,0.01450176,0.04830031
"162",0.04560001,0.04778896,0.013438,0.0001986,3.116e-05,2.441e-05,2.4e-05,6.435e-05,0.01479468,0.04860001
"163",0.04583362,0.0473,0.01360001,0.000209,3.073e-05,2.592e-05,2.67e-05,6.609e-05,0.01526301,0.05020022
"164",0.045601,0.04790839,0.01390003,0.0002085,3.431e-05,2.584e-05,2.665e-05,6.616e-05,0.01484596,0.0504
"165",0.04599957,0.04889999,0.01401149,0.00020045,3.245e-05,2.646e-05,2.5e-05,0.000103,0.01500001,0.04942412
"166",0.0465,0.05144199,0.01391091,0.0001876,3.404e-05,2.88e-05,2.429e-05,9.612e-05,0.01526261,0.05107697
"167",0.04764697,0.05010126,0.0139046,0.00019788,3.473e-05,2.89e-05,2.532e-05,9.464e-05,0.01608962,0.05117342
"168",0.04623058,0.0496,0.01395011,0.00018674,3.298e-05,2.695e-05,2.449e-05,9.496e-05,0.01584999,0.04903417
"169",0.04777004,0.0511377,0.0143849,0.00019181,3.275e-05,2.883e-05,2.445e-05,0.000106,0.01624335,0.05
"170",0.0475003,0.050724,0.015,0.00018951,3.375e-05,3.164e-05,2.428e-05,0.00011495,0.01602008,0.04997465
"171",0.0470353,0.05548999,0.01412999,0.00017623,3.331e-05,3.262e-05,2.363e-05,0.00011744,0.01593,0.05213301
"172",0.04662886,0.05705,0.01426002,0.000178,3.358e-05,3.118e-05,2.53e-05,0.000125,0.01618723,0.05339618
"173",0.04579991,0.05701949,0.01415047,0.00017102,3.646e-05,3.101e-05,2.429e-05,0.00013699,0.01607617,0.0524139
"174",0.0481967,0.05909997,0.01408,0.0001769,3.896e-05,3.405e-05,2.8e-05,0.0001201,0.01622,0.05311102
"175",0.05146499,0.06129097,0.01402332,0.00017237,3.673e-05,3.739e-05,2.755e-05,0.00011921,0.0162,0.05290453
"176",0.05000002,0.06317,0.0139269,0.00016363,3.703e-05,3.866e-05,2.519e-05,0.00010936,0.0162,0.05303587
"177",0.04989909,0.06439478,0.01383042,0.000156,3.607e-05,4.272e-05,2.566e-05,0.00011399,0.01597785,0.05350003
"178",0.05268778,0.0615,0.01393001,0.00016304,4.066e-05,4.18e-05,2.63e-05,0.00012211,0.01603209,0.05438912
"179",0.05125466,0.06210997,0.01375187,0.000179,3.804e-05,3.867e-05,2.701e-05,0.00010978,0.01608639,0.05345087
"180",0.0522895,0.06282452,0.01356001,0.0001755,3.781e-05,4.226e-05,2.669e-05,0.000116,0.01625138,0.05373886
"181",0.05076165,0.06242502,0.01339713,0.000176,3.669e-05,4.092e-05,2.632e-05,0.00011268,0.01792869,0.05310011
"182",0.04877045,0.05971611,0.01324656,0.0001689,3.685e-05,4.089e-05,2.636e-05,0.00010927,0.0171,0.05159996
"183",0.04917727,0.06040001,0.01290144,0.00017071,3.868e-05,4.448e-05,2.69e-05,0.00011349,0.01706,0.0512
"184",0.04824979,0.0629,0.01282036,0.00017117,4.037e-05,4.886e-05,2.701e-05,0.00011127,0.01733422,0.05173858
"185",0.04758001,0.06679997,0.01309988,0.00016407,3.89e-05,4.9e-05,2.668e-05,0.000114,0.01751784,0.0534059
"186",0.04910993,0.06708558,0.01321,0.00016461,3.889e-05,4.959e-05,2.676e-05,0.0001193,0.01707415,0.0544
"187",0.04866711,0.06972499,0.01278,0.00016499,3.787e-05,4.637e-05,3.144e-05,0.00012304,0.01685063,0.05720002
"188",0.04979273,0.07229998,0.012605,0.0001605,3.8e-05,4.781e-05,3.068e-05,0.00011899,0.017,0.05827901
"189",0.0474,0.0713,0.01204548,0.00015394,3.55e-05,4.252e-05,2.881e-05,0.00013337,0.01646779,0.05789064
"190",0.04550014,0.07760097,0.01125785,0.0001382,3.28e-05,3.707e-05,2.515e-05,0.00012038,0.01576001,0.05669151
"191",0.04733843,0.0785,0.01110999,0.00015,3.463e-05,3.85e-05,2.499e-05,0.00012202,0.0161,0.05859654
"192",0.06099001,0.0773,0.0113,0.00013894,3.322e-05,3.678e-05,2.368e-05,0.00010888,0.01780882,0.117
"193",0.05599,0.07820001,0.01137414,0.00013855,3.479e-05,3.953e-05,2.445e-05,0.000113,0.017575,0.10000017
"194",0.056,0.07468504,0.01151101,0.0001415,3.395e-05,3.831e-05,2.388e-05,0.00012106,0.01714007,0.0958
"195",0.0622,0.07505005,0.01148587,0.00013676,3.38e-05,3.733e-05,2.455e-05,0.00011671,0.01777794,0.104
"196",0.06159999,0.07598,0.01260098,0.0001361,3.569e-05,4.16e-05,2.405e-05,0.000121,0.0183599,0.11027944
"197",0.06129974,0.0737,0.0128003,0.00014181,3.475e-05,4.1e-05,2.491e-05,0.00011593,0.0188089,0.12500002
"198",0.06010499,0.07598169,0.01279497,0.00014701,3.418e-05,3.867e-05,2.571e-05,0.00011135,0.0194,0.1096
"199",0.059131,0.07319,0.01353361,0.00014498,3.41e-05,3.934e-05,2.438e-05,0.00011152,0.02135,0.106
"200",0.05952819,0.07445,0.01367,0.000143,3.463e-05,4.004e-05,2.437e-05,0.00011608,0.02475501,0.10441143
"201",0.06296568,0.07624998,0.01379999,0.00014,3.556e-05,4.108e-05,2.454e-05,0.00011299,0.02266407,0.1063
"202",0.064,0.07960007,0.01425007,0.00014134,3.596e-05,4.05e-05,2.44e-05,0.00011446,0.0234,0.10792622
"203",0.0625,0.0804021,0.01340969,0.000136,3.583e-05,3.9e-05,2.411e-05,0.0001085,0.02393,0.11621305
"204",0.0633,0.08013001,0.0133,0.0001348,3.457e-05,3.783e-05,2.307e-05,0.00010744,0.0243789,0.10999665
"205",0.06108609,0.07610995,0.01398648,0.00012015,3.252e-05,3.667e-05,2.031e-05,0.00010401,0.0206,0.10100668
"206",0.0586648,0.07682554,0.01397,0.00011984,3.348e-05,3.48e-05,2.1e-05,0.00010712,0.01848664,0.09599998
"207",0.05497007,0.07674817,0.01235814,9.7e-05,2.834e-05,2.994e-05,1.8e-05,8.642e-05,0.016777,0.08479007
"208",0.05457787,0.07528619,0.0124009,0.000116,2.847e-05,3.139e-05,1.936e-05,9.491e-05,0.0176689,0.09210001
"209",0.0513,0.0752,0.01197,0.0001006,2.622e-05,2.945e-05,1.719e-05,8.594e-05,0.01756131,0.09346158
