,date,BTC_BCN,BTC_BELA,BTC_BLK,BTC_BTCD,BTC_BTM,BTC_BTS,BTC_BURST,BTC_CLAM,BTC_DASH,BTC_DGB,BTC_DOGE,BTC_EMC2,BTC_FLDC,BTC_FLO,BTC_GAME,BTC_GRC,BTC_HUC,BTC_LTC,BTC_MAID,BTC_OMNI,BTC_NAUT,BTC_NAV,BTC_NEOS,BTC_NMC,BTC_NOTE,BTC_NXT,BTC_PINK,BTC_POT,BTC_PPC,BTC_RIC,BTC_SJCX,BTC_STR,BTC_SYS,BTC_VIA,BTC_XVC,BTC_VRC,BTC_VTC,BTC_XBC,BTC_XCP,BTC_XEM,BTC_XMR,BTC_XPM,BTC_XRP,BTC_ETH,BTC_SC,BTC_BCY,BTC_EXP,BTC_FCT,BTC_RADS,BTC_AMP,BTC_DCR,BTC_LSK,BTC_LBC,BTC_STEEM,BTC_SBD,BTC_ETC,BTC_REP,BTC_ARDR,BTC_ZEC,BTC_STRAT,BTC_NXC,BTC_PASC,BTC_GNT
17,1492948800,1.4e-7,0.0001024,8.669e-5,0.00631408,0.00036165,1.018e-5,1.59e-6,0.00127874,0.05689986,9.1e-7,4.2e-7,8.25e-6,2.24e-6,1.275e-5,0.00066,9.92e-6,3.732e-5,0.0121,0.00019246,0.00534895,0.00015553,0.00010248,0.00075502,0.00068926,1.066e-5,1.627e-5,5.18e-6,3.219e-5,0.00067445,2.509e-5,0.00030791,2.82e-6,2.46e-5,0.00016422,7.972e-5,6.23e-5,8.03e-5,0.03696129,0.00302584,2.516e-5,0.0161,0.0001395,2.558e-5,0.038845,6.1e-7,0.00024742,0.00065201,0.00512036,0.00131509,8.213e-5,0.01325874,0.00030249,5.906e-5,0.00018277,0.00084001,0.00268663,0.0098004,2.502e-5,0.05462103,0.0004935,8.505e-5,0.00024183,7.808e-5
18,1492963200,1.4e-7,0.0001035,8.558e-5,0.0063382,0.0003434,1.01e-5,1.62e-6,0.00129721,0.05690101,8.9e-7,4.1e-7,7.98e-6,2.23e-6,1.277e-5,0.00068001,1.013e-5,3.546e-5,0.01232,0.00019288,0.00543608,0.00014908,0.00010064,0.00075515,0.00070356,1.078e-5,1.607e-5,5.2e-6,3.224e-5,0.00069517,2.477e-5,0.00031466,2.82e-6,2.55e-5,0.00016743,7.986e-5,6.275e-5,8.047e-5,0.0382,0.0030238,2.572e-5,0.01606386,0.00013782,2.54e-5,0.03911399,6.1e-7,0.00023465,0.0006431,0.005734,0.00127191,8.122e-5,0.01345991,0.00030044,5.6e-5,0.00018706,0.00085036,0.00272201,0.00975699,2.517e-5,0.05440002,0.00049459,8.592e-5,0.00024311,7.967e-5
19,1492977600,1.3e-7,0.00010361,8.702e-5,0.00637726,0.0003361,1.045e-5,1.63e-6,0.00127872,0.05662,8.7e-7,4.1e-7,8.18e-6,2.23e-6,1.345e-5,0.00067172,1.001e-5,3.701e-5,0.0123062,0.00019043,0.00557777,0.00015108,0.0001005,0.00076142,0.00069515,1.079e-5,1.636e-5,5.11e-6,3.176e-5,0.00068997,2.471e-5,0.00031867,2.85e-6,2.546e-5,0.000167,8.082e-5,6.241e-5,7.891e-5,0.03735578,0.00305494,2.578e-5,0.01613001,0.00014194,2.575e-5,0.03919504,6.2e-7,0.0002341,0.00063457,0.00547382,0.00127665,8.248e-5,0.01366437,0.00030064,5.632e-5,0.00018945,0.00092128,0.00282131,0.00960358,2.497e-5,0.05420063,0.00048871,8.439e-5,0.00024777,7.959e-5
20,1492992000,1.4e-7,0.00010296,8.926e-5,0.00632706,0.00032314,1.04e-5,1.62e-6,0.00126998,0.05659596,8.9e-7,4.2e-7,8.1e-6,2.19e-6,1.309e-5,0.00067553,1.0e-5,3.636e-5,0.0117638,0.000191,0.00535087,0.00014728,0.00010064,0.0007644,0.00068809,1.071e-5,1.653e-5,5.13e-6,3.151e-5,0.00069656,2.504e-5,0.00031967,2.87e-6,2.502e-5,0.00016241,8.054e-5,6.19e-5,7.8e-5,0.03679001,0.00299293,2.567e-5,0.01620546,0.00014469,2.541e-5,0.03968506,6.0e-7,0.00022952,0.00062801,0.00538853,0.001275,8.143e-5,0.01429537,0.00029711,5.474e-5,0.00018366,0.0009093,0.00295825,0.00966326,2.561e-5,0.0547819,0.000508,8.279e-5,0.00024938,7.925e-5
21,1493006400,1.4e-7,0.00010501,8.781e-5,0.00629457,0.00034477,1.039e-5,1.75e-6,0.00125334,0.05734993,8.7e-7,4.1e-7,7.93e-6,2.24e-6,1.375e-5,0.00066423,1.01e-5,3.614e-5,0.01174294,0.00019089,0.00539776,0.00014754,0.00010015,0.00076003,0.00065559,1.135e-5,1.82e-5,5.15e-6,3.132e-5,0.00068,2.427e-5,0.00030138,2.91e-6,2.485e-5,0.0001554,8.0e-5,6.135e-5,7.865e-5,0.03818704,0.003,2.536e-5,0.01629978,0.0001385,2.551e-5,0.03989923,6.1e-7,0.00023621,0.00059,0.00555623,0.00125209,8.202e-5,0.0144472,0.00029959,5.486e-5,0.00018326,0.00089006,0.00299435,0.00966329,2.597e-5,0.05462004,0.000507,8.22e-5,0.00024831,7.896e-5
22,1493020800,1.3e-7,0.00010509,9.15e-5,0.006194,0.00035988,1.084e-5,1.75e-6,0.00124017,0.05714992,8.6e-7,4.1e-7,8.22e-6,2.34e-6,1.342e-5,0.00066306,9.93e-6,3.637e-5,0.01187,0.00019102,0.00530239,0.00014515,0.00010843,0.00075438,0.00067496,1.075e-5,1.725e-5,5.12e-6,3.153e-5,0.0006815,2.491e-5,0.00029911,3.18e-6,2.534e-5,0.00015826,7.958e-5,6.43e-5,7.892e-5,0.03675,0.00307575,2.666e-5,0.01611019,0.00014139,2.545e-5,0.0401,6.1e-7,0.00024067,0.000596,0.00537613,0.00125205,8.065e-5,0.01400547,0.00029596,5.58e-5,0.00018623,0.00089981,0.00320654,0.00986,2.615e-5,0.05520001,0.000497,8.004e-5,0.00025001,7.77e-5
23,1493035200,1.3e-7,0.00011401,9.286e-5,0.00624072,0.0003458,1.063e-5,1.78e-6,0.00123301,0.05735,8.7e-7,4.0e-7,8.35e-6,2.63e-6,1.322e-5,0.0006791,1.003e-5,3.548e-5,0.01204707,0.00019306,0.00511813,0.00015228,0.00010574,0.00075589,0.00067742,1.066e-5,1.77e-5,5.01e-6,3.19e-5,0.00067696,2.535e-5,0.00029962,3.1e-6,2.499e-5,0.0001663,8.009e-5,6.488e-5,7.9e-5,0.03782302,0.00310546,2.64e-5,0.01606008,0.0001441,2.54e-5,0.04013941,5.9e-7,0.000235,0.00061358,0.00537898,0.00126605,8.05e-5,0.0137,0.00029939,6.158e-5,0.00018699,0.0009115,0.003199,0.00951345,2.6e-5,0.055451,0.00050397,8.269e-5,0.0002525,7.85e-5
24,1493049600,1.5e-7,0.0001095,9.285e-5,0.00612437,0.00034304,1.074e-5,1.73e-6,0.00125001,0.05738,9.1e-7,4.0e-7,8.26e-6,2.51e-6,1.364e-5,0.000733,9.9e-6,3.335e-5,0.01193885,0.00018934,0.00513034,0.00014175,0.00010826,0.00075035,0.00066923,9.87e-6,1.735e-5,4.91e-6,3.008e-5,0.00068327,2.411e-5,0.00031099,3.12e-6,2.509e-5,0.00015896,7.95e-5,6.564e-5,7.889e-5,0.03701463,0.00304243,2.68e-5,0.0158736,0.00014283,2.5e-5,0.03959999,6.0e-7,0.00022835,0.00060993,0.00523702,0.00124083,7.683e-5,0.013162,0.00030046,5.679e-5,0.0001824,0.000908,0.003092,0.01194832,2.614e-5,0.0547009,0.00049708,8.096e-5,0.00025776,8.141e-5
25,1493064000,1.5e-7,0.00010662,9.202e-5,0.00621817,0.00033748,1.098e-5,1.77e-6,0.00124052,0.05792,9.2e-7,4.1e-7,8.3e-6,2.54e-6,1.428e-5,0.00075999,9.67e-6,3.367e-5,0.01205895,0.00018821,0.00531965,0.00014199,0.00011759,0.00075829,0.00067899,1.02e-5,1.772e-5,5.13e-6,2.795e-5,0.00067208,2.465e-5,0.00032999,3.06e-6,2.632e-5,0.00015722,7.972e-5,6.488e-5,7.799e-5,0.03746969,0.00318279,2.74e-5,0.015685,0.0001418,2.514e-5,0.03990015,6.2e-7,0.00023273,0.0006081,0.00537499,0.00124396,7.792e-5,0.0132198,0.00031014,5.899e-5,0.00018525,0.0009097,0.00319478,0.01109868,2.797e-5,0.0547,0.00050875,8.006e-5,0.0002562,8.132e-5
26,1493078400,1.4e-7,0.00010684,9.325e-5,0.00624225,0.0003451,1.091e-5,1.72e-6,0.00126576,0.05765006,8.9e-7,4.1e-7,8.27e-6,2.66e-6,1.431e-5,0.0007885,9.69e-6,3.358e-5,0.01191771,0.0001899,0.00534336,0.00014141,0.00011372,0.00075661,0.00066923,1.031e-5,1.775e-5,5.14e-6,2.76e-5,0.000673,2.477e-5,0.00034105,3.01e-6,2.733e-5,0.00015503,7.604e-5,6.401e-5,7.897e-5,0.03759992,0.0031623,2.775e-5,0.0158918,0.00014224,2.649e-5,0.039565,6.6e-7,0.00023186,0.000601,0.00559329,0.00133577,7.758e-5,0.01363528,0.00030347,5.85e-5,0.00018183,0.00094054,0.00317654,0.01149,2.877e-5,0.054805,0.00049376,7.955e-5,0.0002542,7.966e-5
